Turn,Dead,Infected,Recovered,Vaccinated,Cured,Total_Population,Mortality Rate,Infection Rate,Recovery Rate,Vaccination Rate,Cured Rate,Male,Female,Smoker,Non-Smoker,Pre-Existing Conditions,No Pre-Existing Conditions,Active,Sedentary,Moderate
81,4,12,8,15,11,25,0.16,0.48,0.32,0.6,0.44,10,15,9,16,11,14,8,9,8
82,0,0,2,6,1,7,0.0,0.0,0.2857142857142857,0.8571428571428571,0.14285714285714285,4,3,4,3,2,5,3,0,4
83,0,0,2,0,1,7,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,2,5,3,4,5,2,1,4,2
84,0,0,2,2,1,7,0.0,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,2,5,4,3,4,3,2,3,2
85,0,0,2,3,1,7,0.0,0.0,0.2857142857142857,0.42857142857142855,0.14285714285714285,3,4,4,3,4,3,2,0,5
86,0,0,2,5,1,7,0.0,0.0,0.2857142857142857,0.7142857142857143,0.14285714285714285,5,2,3,4,5,2,2,2,3
87,47,58,0,39,54,105,0.44761904761904764,0.5523809523809524,0.0,0.37142857142857144,0.5142857142857142,55,50,54,51,59,46,34,34,37
88,2,7,8,19,8,25,0.08,0.28,0.32,0.76,0.32,14,11,14,11,12,13,7,9,9
89,0,2,57,8,6,141,0.0,0.014184397163120567,0.40425531914893614,0.05673758865248227,0.0425531914893617,85,56,58,83,62,79,35,46,60
90,0,44,0,79,66,131,0.0,0.33587786259541985,0.0,0.6030534351145038,0.5038167938931297,66,65,64,67,65,66,37,38,56
91,0,0,2,0,1,7,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,2,5,3,4,5,2,1,3,3
92,5,24,13,34,27,47,0.10638297872340426,0.5106382978723404,0.2765957446808511,0.723404255319149,0.574468085106383,18,29,25,22,27,20,12,23,12
